team_number,current_elo
22,1452.7
112,1483.8
1113,1515.8
1189,1501.6
1220,1513.7
1222,1469.4
1302,1423.6
1320,1587.6
1351,1439.2
1392,1553.3
1408,1456.3
1410,1486.6
1485,1454.8
1530,1514.1
1590,1426.5
1634,1530.2
1656,1504.9
1705,1583.5
1786,1458.2
1823,1500.7
1894,1470.6
1907,1448.6
1944,1521.0
1949,1489.8
1982,1529.2
2113,1598.2
2151,1451.2
2217,1599.2
2349,1509.8
2365,1545.6
2423,1516.7
2481,1467.1
2506,1467.2
2539,1565.5
2639,1481.3
2686,1570.4
2714,1569.2
2728,1487.5
2739,1422.9
2760,1491.0
2764,1513.2
2770,1606.8
2780,1501.3
2797,1486.2
2835,1464.8
2855,1493.9
2882,1481.8
2908,1450.8
3008,1516.0
3058,1543.1
3076,1498.0
3124,1490.1
3130,1428.1
3136,1410.6
3170,1609.4
3175,1531.3
3200,1513.1
3272,1454.6
3275,1544.2
3318,1451.2
3326,1401.3
3335,1473.0
3474,1501.3
3488,1516.8
3491,1547.3
3572,1500.0
3589,1487.9
3623,1557.7
3632,1540.3
3640,1421.8
3726,1460.7
3755,1500.5
3757,1484.9
3789,1471.3
3839,1517.5
3985,1424.0
4073,1545.4
4100,1499.9
4132,1482.2
4155,1500.0
4234,1548.1
4304,1652.5
4331,1538.0
4336,1522.6
4541,1578.9
4595,1482.8
4727,1541.9
4732,1509.3
4741,1441.2
4888,1505.0
4892,1503.4
4997,1641.1
5040,1387.3
5082,1486.5
5127,1467.2
5141,1532.0
5161,1482.2
5170,1492.2
5204,1446.3
5233,1502.1
5252,1530.3
5289,1479.2
5383,1467.5
5399,1491.5
5416,1453.7
5463,1486.0
5491,1440.9
5530,1468.3
5541,1515.7
5545,1428.0
5550,1567.9
5553,1514.8
5583,1588.3
5613,1487.2
5626,1485.3
5682,1428.8
5692,1515.3
5722,1487.7
5745,1472.2
5784,1426.4
5790,1480.7
5834,1550.0
5843,1524.1
5857,1502.8
5865,1502.3
5870,1584.0
5892,1558.7
5898,1513.0
5931,1528.7
5937,1499.7
5983,1576.7
6011,1513.9
6034,1438.5
6066,1528.5
6129,1489.2
6235,1574.1
6266,1486.0
6282,1469.5
6316,1469.1
6354,1562.7
6376,1466.5
6382,1471.2
6408,1482.6
6451,1518.4
6544,1522.4
6590,1549.4
6596,1560.6
6600,1439.7
6602,1531.1
6609,1400.9
6624,1485.2
6638,1499.3
6662,1499.3
6847,1466.6
6892,1438.5
6906,1486.9
6930,1409.7
6974,1458.8
6975,1480.7
6988,1512.8
6995,1483.5
7009,1413.5
7113,1469.0
7153,1529.6
7229,1644.9
7238,1470.8
7242,1468.0
7252,1491.1
7258,1470.1
7259,1529.8
7260,1500.8
7312,1528.8
7317,1350.8
7359,1439.6
7373,1560.7
7483,1451.6
