match_key,season,event_key,event_name,region,match_number,red_team_1,red_team_2,blue_team_1,blue_team_2,red_score,blue_score,score_diff,winner,is_playoff
1819-TX-E01-Q-001,1819,1819-TX-E01,Mock Event E01,TX,1,1949,8171,16062,21517,193,273,-80,blue,False
1819-TX-E01-Q-002,1819,1819-TX-E01,Mock Event E01,TX,2,22746,21517,5289,8171,203,161,42,red,False
1819-TX-E01-Q-003,1819,1819-TX-E01,Mock Event E01,TX,3,1949,16062,22746,21729,160,93,67,red,False
1819-TX-E01-Q-004,1819,1819-TX-E01,Mock Event E01,TX,4,8171,18170,22030,1949,232,134,98,red,False
1819-TX-E01-Q-005,1819,1819-TX-E01,Mock Event E01,TX,5,8171,18170,19905,2113,218,242,-24,blue,False
1819-TX-E01-Q-006,1819,1819-TX-E01,Mock Event E01,TX,6,5289,16062,2113,1949,140,200,-60,blue,False
1819-TX-E01-Q-007,1819,1819-TX-E01,Mock Event E01,TX,7,5626,8171,1949,5289,173,214,-41,blue,False
1819-TX-E01-Q-008,1819,1819-TX-E01,Mock Event E01,TX,8,19905,5626,22030,1949,175,163,12,red,False
1819-TX-E01-Q-009,1819,1819-TX-E01,Mock Event E01,TX,9,8171,19905,22746,1949,176,181,-5,blue,False
1819-TX-E01-Q-010,1819,1819-TX-E01,Mock Event E01,TX,10,18170,1949,5682,22030,228,166,62,red,False
1819-TX-E01-Q-011,1819,1819-TX-E01,Mock Event E01,TX,11,22030,19905,2113,21729,152,156,-4,blue,False
1819-TX-E01-Q-012,1819,1819-TX-E01,Mock Event E01,TX,12,19905,21729,8171,16062,130,164,-34,blue,False
1819-TX-E01-Q-013,1819,1819-TX-E01,Mock Event E01,TX,13,5626,18170,22030,5682,223,156,67,red,False
1819-TX-E01-Q-014,1819,1819-TX-E01,Mock Event E01,TX,14,5289,2113,18170,21517,216,246,-30,blue,False
1819-TX-E01-Q-015,1819,1819-TX-E01,Mock Event E01,TX,15,21517,22746,22030,5682,275,158,117,red,False
1819-TX-E01-Q-016,1819,1819-TX-E01,Mock Event E01,TX,16,22030,19905,22746,2113,141,249,-108,blue,False
1819-TX-E01-E-SF1-1,1819,1819-TX-E01,Mock Event E01,TX,1,2113,16062,5626,5682,260,224,36,red,True
1819-TX-E01-E-SF1-2,1819,1819-TX-E01,Mock Event E01,TX,2,2113,16062,5626,5682,262,247,15,red,True
1819-TX-E01-E-SF2-1,1819,1819-TX-E01,Mock Event E01,TX,1,21517,5289,18170,1949,243,226,17,red,True
1819-TX-E01-E-SF2-2,1819,1819-TX-E01,Mock Event E01,TX,2,21517,5289,18170,1949,257,232,25,red,True
1819-TX-E01-E-SF2-3,1819,1819-TX-E01,Mock Event E01,TX,3,21517,5289,18170,1949,253,235,18,red,True
1819-TX-E01-E-F-1,1819,1819-TX-E01,Mock Event E01,TX,1,2113,16062,21517,5289,249,235,14,red,True
1819-TX-E01-E-F-2,1819,1819-TX-E01,Mock Event E01,TX,2,2113,16062,21517,5289,229,227,2,red,True
