team_number,season,event_key,match_number,elo_before,elo_after,elo_change
1949,1819,1819-TX-E01,1,1500.0,1484.0,-16.0
8171,1819,1819-TX-E01,1,1500.0,1484.0,-16.0
16062,1819,1819-TX-E01,1,1500.0,1516.0,16.0
21517,1819,1819-TX-E01,1,1500.0,1516.0,16.0
2113,1819,1819-TX-E01,1,1500.0,1515.6,15.63
16062,1819,1819-TX-E01,1,1516.0,1531.6,15.63
5626,1819,1819-TX-E01,1,1500.0,1484.4,-15.63
5682,1819,1819-TX-E01,1,1500.0,1484.4,-15.63
21517,1819,1819-TX-E01,1,1516.0,1531.3,15.26
5289,1819,1819-TX-E01,1,1500.0,1515.3,15.26
18170,1819,1819-TX-E01,1,1500.0,1484.7,-15.26
1949,1819,1819-TX-E01,1,1484.0,1468.7,-15.26
2113,1819,1819-TX-E01,1,1515.6,1531.6,15.98
16062,1819,1819-TX-E01,1,1531.6,1547.6,15.98
21517,1819,1819-TX-E01,1,1531.3,1515.3,-15.98
5289,1819,1819-TX-E01,1,1515.3,1499.3,-15.98
22746,1819,1819-TX-E01,2,1500.0,1515.3,15.26
21517,1819,1819-TX-E01,2,1515.3,1530.5,15.26
5289,1819,1819-TX-E01,2,1499.3,1484.0,-15.26
8171,1819,1819-TX-E01,2,1484.0,1468.7,-15.26
2113,1819,1819-TX-E01,2,1531.6,1545.1,13.48
16062,1819,1819-TX-E01,2,1547.6,1561.1,13.48
5626,1819,1819-TX-E01,2,1484.4,1470.9,-13.48
5682,1819,1819-TX-E01,2,1484.4,1470.9,-13.48
21517,1819,1819-TX-E01,2,1530.5,1545.1,14.6
5289,1819,1819-TX-E01,2,1484.0,1498.6,14.6
18170,1819,1819-TX-E01,2,1484.7,1470.1,-14.6
1949,1819,1819-TX-E01,2,1468.7,1454.1,-14.6
2113,1819,1819-TX-E01,2,1545.1,1559.7,14.57
16062,1819,1819-TX-E01,2,1561.1,1575.7,14.57
21517,1819,1819-TX-E01,2,1545.1,1530.6,-14.57
5289,1819,1819-TX-E01,2,1498.6,1484.0,-14.57
1949,1819,1819-TX-E01,3,1454.1,1469.8,15.67
16062,1819,1819-TX-E01,3,1575.7,1591.3,15.67
22746,1819,1819-TX-E01,3,1515.3,1499.6,-15.67
21729,1819,1819-TX-E01,3,1500.0,1484.3,-15.67
21517,1819,1819-TX-E01,3,1530.6,1544.9,14.29
5289,1819,1819-TX-E01,3,1484.0,1498.3,14.29
18170,1819,1819-TX-E01,3,1470.1,1455.9,-14.29
1949,1819,1819-TX-E01,3,1469.8,1455.5,-14.29
8171,1819,1819-TX-E01,4,1468.7,1485.4,16.71
18170,1819,1819-TX-E01,4,1455.9,1472.6,16.71
