team_number,event_key,season,ranking,wins,losses,ties,opr,np_opr,ccwm
18170,1819-TX-E01,1819,1,5,1,0,127.45,127.6,45.83
22746,1819-TX-E01,1819,2,5,1,0,79.36,77.67,22.66
1949,1819-TX-E01,1819,3,5,4,0,97.55,96.21,5.17
21517,1819-TX-E01,1819,4,4,0,0,155.1,145.71,29.53
2113,1819-TX-E01,1819,5,4,1,0,136.48,127.09,40.12
16062,1819-TX-E01,1819,6,4,2,0,90.45,86.21,59.72
8171,1819-TX-E01,1819,7,4,6,0,88.18,84.44,-21.25
19905,1819-TX-E01,1819,8,3,5,0,101.9,96.63,22.58
5626,1819-TX-E01,1819,9,2,2,0,94.15,95.18,-8.93
21729,1819-TX-E01,1819,10,2,2,0,51.77,55.55,-12.53
5682,1819-TX-E01,1819,11,1,4,0,98.86,99.72,-19.81
5289,1819-TX-E01,1819,12,1,4,0,50.03,51.52,-72.5
22030,1819-TX-E01,1819,13,0,8,0,49.83,49.18,-69.41
13871,1819-TX-E02,1819,1,7,0,0,126.75,116.38,45.28
3632,1819-TX-E02,1819,2,5,2,0,155.05,148.85,48.52
23420,1819-TX-E02,1819,3,5,1,0,127.67,129.82,45.2
12598,1819-TX-E02,1819,4,4,1,0,119.87,115.71,6.33
1392,1819-TX-E02,1819,5,4,1,0,118.47,111.6,41.26
22602,1819-TX-E02,1819,6,3,2,0,118.15,122.0,-2.54
9894,1819-TX-E02,1819,7,3,1,0,102.07,83.14,48.15
18702,1819-TX-E02,1819,8,3,2,0,104.38,102.39,8.18
15039,1819-TX-E02,1819,9,3,4,0,77.63,73.52,-19.67
18050,1819-TX-E02,1819,10,2,3,0,95.98,101.61,-15.03
19001,1819-TX-E02,1819,11,2,2,0,101.38,96.8,5.42
1894,1819-TX-E02,1819,12,2,4,0,92.24,92.14,-24.33
17229,1819-TX-E02,1819,13,2,5,0,52.5,47.35,-53.82
21605,1819-TX-E02,1819,14,1,4,0,103.72,99.97,-6.93
21411,1819-TX-E02,1819,15,1,3,0,107.41,106.74,-4.24
3272,1819-TX-E02,1819,16,1,4,0,102.25,94.85,-9.41
7317,1819-TX-E02,1819,17,1,4,0,74.31,66.58,-18.67
8583,1819-TX-E02,1819,18,1,3,0,46.81,51.61,-49.07
2797,1819-TX-E02,1819,19,1,2,0,75.37,78.37,-28.48
7890,1819-TX-E02,1819,20,1,3,0,64.89,64.56,-32.32
6995,1819-TX-E02,1819,21,0,1,0,59.11,49.44,-69.68
15476,1819-TX-E03,1819,1,5,0,0,153.06,150.9,48.88
17285,1819-TX-E03,1819,2,5,2,0,89.53,77.15,20.13
11030,1819-TX-E03,1819,3,4,0,0,149.16,130.7,73.9
20065,1819-TX-E03,1819,4,4,1,0,106.42,106.72,53.13
15210,1819-TX-E03,1819,5,4,3,0,117.06,120.87,30.23
9005,1819-TX-E03,1819,6,4,2,0,91.37,86.45,1.21
3008,1819-TX-E03,1819,7,3,2,0,122.95,120.02,51.71
19016,1819-TX-E03,1819,8,3,3,0,112.24,107.1,-20.12
6011,1819-TX-E03,1819,9,3,2,0,99.64,102.04,-9.55
19170,1819-TX-E03,1819,10,3,1,0,90.99,84.14,18.26
9524,1819-TX-E03,1819,11,3,5,0,101.48,105.49,33.78
10147,1819-TX-E03,1819,12,3,2,0,103.31,105.25,45.02
16524,1819-TX-E03,1819,13,3,4,0,98.6,86.69,0.09
11463,1819-TX-E03,1819,14,3,1,0,95.57,97.11,9.92
18740,1819-TX-E03,1819,15,3,3,0,65.84,68.68,-13.88
24086,1819-TX-E03,1819,16,2,0,0,132.82,117.92,-9.95
10315,1819-TX-E03,1819,17,2,2,0,112.42,98.99,-12.6
12024,1819-TX-E03,1819,18,2,0,0,110.53,106.57,106.44
5722,1819-TX-E03,1819,19,2,3,0,108.85,99.6,54.64
19735,1819-TX-E03,1819,20,2,1,0,65.33,60.07,-17.74
3985,1819-TX-E03,1819,21,2,7,0,75.26,71.18,-25.03
10810,1819-TX-E03,1819,22,2,2,0,82.07,81.66,-8.74
12931,1819-TX-E03,1819,23,1,3,0,91.52,82.86,-66.27
21765,1819-TX-E03,1819,24,1,3,0,97.76,79.29,-35.28
1485,1819-TX-E03,1819,25,1,4,0,41.63,41.37,-97.73
14974,1819-TX-E03,1819,26,0,3,0,70.23,58.8,-43.26
