team_number,team_name,country,state_province,rookie_year
1949,Robot Dogs 1949,USA,TX,2006
2113,Robot Dogs 2113,USA,TX,2016
5289,Robot Dogs 5289,USA,TX,2011
5626,Robot Dogs 5626,USA,TX,2017
5682,Robot Dogs 5682,USA,TX,2011
8171,Robot Dogs 8171,USA,TX,2012
16062,Robot Dogs 16062,USA,TX,2016
18170,Robot Dogs 18170,USA,TX,2014
19905,Robot Dogs 19905,USA,TX,2007
21517,Robot Dogs 21517,USA,TX,2006
21729,Robot Dogs 21729,USA,TX,2016
22030,Robot Dogs 22030,USA,TX,2006
22746,Robot Dogs 22746,USA,TX,2017
2739,Robot Dogs 2739,USA,TX,2018
2770,Robot Dogs 2770,USA,TX,2010
5613,Robot Dogs 5613,USA,TX,2014
6066,Robot Dogs 6066,USA,TX,2007
8028,Robot Dogs 8028,USA,TX,2018
8696,Robot Dogs 8696,USA,TX,2023
9907,Robot Dogs 9907,USA,TX,2005
10135,Robot Dogs 10135,USA,TX,2005
14966,Robot Dogs 14966,USA,TX,2009
15172,Robot Dogs 15172,USA,TX,2007
16362,Robot Dogs 16362,USA,TX,2019
16928,Robot Dogs 16928,USA,TX,2014
21170,Robot Dogs 21170,USA,TX,2014
21396,Robot Dogs 21396,USA,TX,2019
21896,Robot Dogs 21896,USA,TX,2005
24116,Robot Dogs 24116,USA,TX,2009
1485,Robot Dogs 1485,USA,TX,2018
3008,Robot Dogs 3008,USA,TX,2013
3985,Robot Dogs 3985,USA,TX,2017
5722,Robot Dogs 5722,USA,TX,2013
6011,Robot Dogs 6011,USA,TX,2015
9005,Robot Dogs 9005,USA,TX,2018
9524,Robot Dogs 9524,USA,TX,2021
10147,Robot Dogs 10147,USA,TX,2011
10315,Robot Dogs 10315,USA,TX,2007
10810,Robot Dogs 10810,USA,TX,2020
11030,Robot Dogs 11030,USA,TX,2012
11463,Robot Dogs 11463,USA,TX,2012
11475,Robot Dogs 11475,USA,TX,2008
12024,Robot Dogs 12024,USA,TX,2021
12931,Robot Dogs 12931,USA,TX,2006
14974,Robot Dogs 14974,USA,TX,2021
15210,Robot Dogs 15210,USA,TX,2008
15476,Robot Dogs 15476,USA,TX,2018
16524,Robot Dogs 16524,USA,TX,2012
17276,Robot Dogs 17276,USA,TX,2013
17285,Robot Dogs 17285,USA,TX,2023
18740,Robot Dogs 18740,USA,TX,2010
19016,Robot Dogs 19016,USA,TX,2012
19170,Robot Dogs 19170,USA,TX,2010
19735,Robot Dogs 19735,USA,TX,2019
20065,Robot Dogs 20065,USA,TX,2021
21765,Robot Dogs 21765,USA,TX,2009
24086,Robot Dogs 24086,USA,TX,2005
1392,Robot Dogs 1392,USA,TX,2005
1894,Robot Dogs 1894,USA,TX,2022
2797,Robot Dogs 2797,USA,TX,2022
3272,Robot Dogs 3272,USA,TX,2010
3632,Robot Dogs 3632,USA,TX,2014
6995,Robot Dogs 6995,USA,TX,2017
7317,Robot Dogs 7317,USA,TX,2016
7890,Robot Dogs 7890,USA,TX,2014
8583,Robot Dogs 8583,USA,TX,2014
9894,Robot Dogs 9894,USA,TX,2016
12598,Robot Dogs 12598,USA,TX,2007
13871,Robot Dogs 13871,USA,TX,2008
15039,Robot Dogs 15039,USA,TX,2007
17229,Robot Dogs 17229,USA,TX,2008
18050,Robot Dogs 18050,USA,TX,2016
18702,Robot Dogs 18702,USA,TX,2011
19001,Robot Dogs 19001,USA,TX,2005
21411,Robot Dogs 21411,USA,TX,2021
21605,Robot Dogs 21605,USA,TX,2020
22602,Robot Dogs 22602,USA,TX,2020
23420,Robot Dogs 23420,USA,TX,2017
2835,Robot Dogs 2835,USA,TX,2010
4132,Robot Dogs 4132,USA,TX,2006
7986,Robot Dogs 7986,USA,TX,2006
9112,Robot Dogs 9112,USA,TX,2010
9138,Robot Dogs 9138,USA,TX,2016
12045,Robot Dogs 12045,USA,TX,2012
15650,Robot Dogs 15650,USA,TX,2009
15807,Robot Dogs 15807,USA,TX,2013
16522,Robot Dogs 16522,USA,TX,2009
16577,Robot Dogs 16577,USA,TX,2016
18215,Robot Dogs 18215,USA,TX,2005
20149,Robot Dogs 20149,USA,TX,2014
23922,Robot Dogs 23922,USA,TX,2007
3130,Robot Dogs 3130,USA,TX,2007
3589,Robot Dogs 3589,USA,TX,2009
5857,Robot Dogs 5857,USA,TX,2008
6354,Robot Dogs 6354,USA,TX,2016
12291,Robot Dogs 12291,USA,TX,2005
12704,Robot Dogs 12704,USA,TX,2011
13137,Robot Dogs 13137,USA,TX,2005
13340,Robot Dogs 13340,USA,TX,2016
19238,Robot Dogs 19238,USA,TX,2005
19560,Robot Dogs 19560,USA,TX,2009
22373,Robot Dogs 22373,USA,TX,2012
24493,Robot Dogs 24493,USA,TX,2012
1351,Robot Dogs 1351,USA,TX,2007
2423,Robot Dogs 2423,USA,TX,2023
3488,Robot Dogs 3488,USA,TX,2023
3839,Robot Dogs 3839,USA,TX,2022
4888,Robot Dogs 4888,USA,TX,2005
4997,Robot Dogs 4997,USA,TX,2020
5553,Robot Dogs 5553,USA,TX,2014
6408,Robot Dogs 6408,USA,TX,2018
6544,Robot Dogs 6544,USA,TX,2009
6892,Robot Dogs 6892,USA,TX,2010
6974,Robot Dogs 6974,USA,TX,2020
7229,Robot Dogs 7229,USA,TX,2007
8004,Robot Dogs 8004,USA,TX,2018
8198,Robot Dogs 8198,USA,TX,2021
8473,Robot Dogs 8473,USA,TX,2021
9375,Robot Dogs 9375,USA,TX,2018
9430,Robot Dogs 9430,USA,TX,2014
11146,Robot Dogs 11146,USA,TX,2020
12091,Robot Dogs 12091,USA,TX,2023
13944,Robot Dogs 13944,USA,TX,2020
14947,Robot Dogs 14947,USA,TX,2006
15822,Robot Dogs 15822,USA,TX,2007
16261,Robot Dogs 16261,USA,TX,2011
17357,Robot Dogs 17357,USA,TX,2016
17921,Robot Dogs 17921,USA,TX,2005
17994,Robot Dogs 17994,USA,TX,2017
18078,Robot Dogs 18078,USA,TX,2006
18211,Robot Dogs 18211,USA,TX,2016
18641,Robot Dogs 18641,USA,TX,2017
19195,Robot Dogs 19195,USA,TX,2009
21261,Robot Dogs 21261,USA,TX,2020
21340,Robot Dogs 21340,USA,TX,2021
21811,Robot Dogs 21811,USA,TX,2022
23665,Robot Dogs 23665,USA,TX,2006
23772,Robot Dogs 23772,USA,TX,2014
1408,Robot Dogs 1408,USA,TX,2017
1530,Robot Dogs 1530,USA,TX,2011
2686,Robot Dogs 2686,USA,TX,2021
3474,Robot Dogs 3474,USA,TX,2020
5383,Robot Dogs 5383,USA,TX,2006
5530,Robot Dogs 5530,USA,TX,2016
5834,Robot Dogs 5834,USA,TX,2018
5937,Robot Dogs 5937,USA,TX,2022
7483,Robot Dogs 7483,USA,TX,2012
7690,Robot Dogs 7690,USA,TX,2019
10542,Robot Dogs 10542,USA,TX,2019
11910,Robot Dogs 11910,USA,TX,2014
14300,Robot Dogs 14300,USA,TX,2021
14885,Robot Dogs 14885,USA,TX,2014
18301,Robot Dogs 18301,USA,TX,2023
18485,Robot Dogs 18485,USA,TX,2018
19463,Robot Dogs 19463,USA,TX,2020
20017,Robot Dogs 20017,USA,TX,2013
20402,Robot Dogs 20402,USA,TX,2022
20503,Robot Dogs 20503,USA,TX,2022
22097,Robot Dogs 22097,USA,TX,2015
23476,Robot Dogs 23476,USA,TX,2017
2217,Robot Dogs 2217,USA,TX,2012
2760,Robot Dogs 2760,USA,TX,2012
3275,Robot Dogs 3275,USA,TX,2017
3335,Robot Dogs 3335,USA,TX,2020
5399,Robot Dogs 5399,USA,TX,2015
5491,Robot Dogs 5491,USA,TX,2006
7611,Robot Dogs 7611,USA,TX,2008
8319,Robot Dogs 8319,USA,TX,2011
8957,Robot Dogs 8957,USA,TX,2006
9504,Robot Dogs 9504,USA,TX,2013
11119,Robot Dogs 11119,USA,TX,2005
11339,Robot Dogs 11339,USA,TX,2018
14171,Robot Dogs 14171,USA,TX,2008
16688,Robot Dogs 16688,USA,TX,2008
18751,Robot Dogs 18751,USA,TX,2006
19114,Robot Dogs 19114,USA,TX,2009
19350,Robot Dogs 19350,USA,TX,2008
19407,Robot Dogs 19407,USA,TX,2015
19651,Robot Dogs 19651,USA,TX,2012
22159,Robot Dogs 22159,USA,TX,2021
24767,Robot Dogs 24767,USA,TX,2010
1222,Robot Dogs 1222,USA,TX,2013
2639,Robot Dogs 2639,USA,TX,2016
2714,Robot Dogs 2714,USA,TX,2016
3318,Robot Dogs 3318,USA,TX,2023
5545,Robot Dogs 5545,USA,TX,2009
5892,Robot Dogs 5892,USA,TX,2007
8543,Robot Dogs 8543,USA,TX,2007
9351,Robot Dogs 9351,USA,TX,2005
10302,Robot Dogs 10302,USA,TX,2010
11806,Robot Dogs 11806,USA,TX,2015
12601,Robot Dogs 12601,USA,TX,2017
12646,Robot Dogs 12646,USA,TX,2017
14315,Robot Dogs 14315,USA,TX,2013
14691,Robot Dogs 14691,USA,TX,2015
14699,Robot Dogs 14699,USA,TX,2005
14749,Robot Dogs 14749,USA,TX,2011
14836,Robot Dogs 14836,USA,TX,2007
16367,Robot Dogs 16367,USA,TX,2009
16643,Robot Dogs 16643,USA,TX,2007
17533,Robot Dogs 17533,USA,TX,2011
19635,Robot Dogs 19635,USA,TX,2008
21003,Robot Dogs 21003,USA,TX,2021
21762,Robot Dogs 21762,USA,TX,2023
21864,Robot Dogs 21864,USA,TX,2007
23891,Robot Dogs 23891,USA,TX,2007
24300,Robot Dogs 24300,USA,TX,2019
24927,Robot Dogs 24927,USA,TX,2023
1786,Robot Dogs 1786,USA,TX,2011
2365,Robot Dogs 2365,USA,TX,2011
2780,Robot Dogs 2780,USA,TX,2014
3124,Robot Dogs 3124,USA,TX,2008
6034,Robot Dogs 6034,USA,TX,2005
6451,Robot Dogs 6451,USA,TX,2021
8275,Robot Dogs 8275,USA,TX,2021
8364,Robot Dogs 8364,USA,TX,2018
8885,Robot Dogs 8885,USA,TX,2022
9152,Robot Dogs 9152,USA,TX,2007
9428,Robot Dogs 9428,USA,TX,2023
10465,Robot Dogs 10465,USA,TX,2022
10747,Robot Dogs 10747,USA,TX,2008
12905,Robot Dogs 12905,USA,TX,2022
16252,Robot Dogs 16252,USA,TX,2014
16724,Robot Dogs 16724,USA,TX,2006
17682,Robot Dogs 17682,USA,TX,2019
18374,Robot Dogs 18374,USA,TX,2021
18588,Robot Dogs 18588,USA,TX,2016
18899,Robot Dogs 18899,USA,TX,2010
21987,Robot Dogs 21987,USA,TX,2021
23204,Robot Dogs 23204,USA,TX,2018
24841,Robot Dogs 24841,USA,TX,2023
1590,Robot Dogs 1590,USA,TX,2009
2349,Robot Dogs 2349,USA,TX,2022
2506,Robot Dogs 2506,USA,TX,2013
2728,Robot Dogs 2728,USA,TX,2023
2908,Robot Dogs 2908,USA,TX,2021
3755,Robot Dogs 3755,USA,TX,2016
4304,Robot Dogs 4304,USA,TX,2016
5583,Robot Dogs 5583,USA,TX,2017
7009,Robot Dogs 7009,USA,TX,2023
7252,Robot Dogs 7252,USA,TX,2016
7586,Robot Dogs 7586,USA,TX,2023
7613,Robot Dogs 7613,USA,TX,2012
8451,Robot Dogs 8451,USA,TX,2009
8643,Robot Dogs 8643,USA,TX,2013
9582,Robot Dogs 9582,USA,TX,2015
9874,Robot Dogs 9874,USA,TX,2006
10800,Robot Dogs 10800,USA,TX,2006
11878,Robot Dogs 11878,USA,TX,2005
14305,Robot Dogs 14305,USA,TX,2017
15489,Robot Dogs 15489,USA,TX,2020
15831,Robot Dogs 15831,USA,TX,2022
16403,Robot Dogs 16403,USA,TX,2015
17099,Robot Dogs 17099,USA,TX,2014
18579,Robot Dogs 18579,USA,TX,2007
18768,Robot Dogs 18768,USA,TX,2005
20791,Robot Dogs 20791,USA,TX,2010
21018,Robot Dogs 21018,USA,TX,2005
23460,Robot Dogs 23460,USA,TX,2012
23517,Robot Dogs 23517,USA,TX,2020
24577,Robot Dogs 24577,USA,TX,2008
1705,Robot Dogs 1705,USA,TX,2016
4732,Robot Dogs 4732,USA,TX,2010
5040,Robot Dogs 5040,USA,TX,2013
5870,Robot Dogs 5870,USA,TX,2014
6376,Robot Dogs 6376,USA,TX,2015
8088,Robot Dogs 8088,USA,TX,2022
10282,Robot Dogs 10282,USA,TX,2011
11296,Robot Dogs 11296,USA,TX,2010
13185,Robot Dogs 13185,USA,TX,2007
17306,Robot Dogs 17306,USA,TX,2006
20616,Robot Dogs 20616,USA,TX,2017
21145,Robot Dogs 21145,USA,TX,2015
1907,Robot Dogs 1907,USA,TX,2017
1944,Robot Dogs 1944,USA,TX,2010
4073,Robot Dogs 4073,USA,TX,2005
4336,Robot Dogs 4336,USA,TX,2022
5931,Robot Dogs 5931,USA,TX,2008
6235,Robot Dogs 6235,USA,TX,2015
7113,Robot Dogs 7113,USA,TX,2021
8078,Robot Dogs 8078,USA,TX,2017
8143,Robot Dogs 8143,USA,TX,2012
8600,Robot Dogs 8600,USA,TX,2011
8849,Robot Dogs 8849,USA,TX,2011
9099,Robot Dogs 9099,USA,TX,2017
9338,Robot Dogs 9338,USA,TX,2023
10056,Robot Dogs 10056,USA,TX,2018
10697,Robot Dogs 10697,USA,TX,2008
15571,Robot Dogs 15571,USA,TX,2015
15573,Robot Dogs 15573,USA,TX,2016
19455,Robot Dogs 19455,USA,TX,2018
21337,Robot Dogs 21337,USA,TX,2018
21590,Robot Dogs 21590,USA,TX,2006
21750,Robot Dogs 21750,USA,TX,2013
24681,Robot Dogs 24681,USA,TX,2019
1113,Robot Dogs 1113,USA,TX,2007
1302,Robot Dogs 1302,USA,TX,2014
1823,Robot Dogs 1823,USA,TX,2005
3757,Robot Dogs 3757,USA,TX,2022
3789,Robot Dogs 3789,USA,TX,2011
6609,Robot Dogs 6609,USA,TX,2013
9691,Robot Dogs 9691,USA,TX,2014
10469,Robot Dogs 10469,USA,TX,2007
10567,Robot Dogs 10567,USA,TX,2020
15737,Robot Dogs 15737,USA,TX,2010
17586,Robot Dogs 17586,USA,TX,2007
17939,Robot Dogs 17939,USA,TX,2023
20130,Robot Dogs 20130,USA,TX,2022
21096,Robot Dogs 21096,USA,TX,2021
22399,Robot Dogs 22399,USA,TX,2018
23753,Robot Dogs 23753,USA,TX,2022
24144,Robot Dogs 24144,USA,TX,2008
24581,Robot Dogs 24581,USA,TX,2013
3572,Robot Dogs 3572,USA,TX,2011
3623,Robot Dogs 3623,USA,TX,2021
4331,Robot Dogs 4331,USA,TX,2012
5416,Robot Dogs 5416,USA,TX,2023
6282,Robot Dogs 6282,USA,TX,2014
6906,Robot Dogs 6906,USA,TX,2012
7590,Robot Dogs 7590,USA,TX,2010
9755,Robot Dogs 9755,USA,TX,2012
9756,Robot Dogs 9756,USA,TX,2020
11227,Robot Dogs 11227,USA,TX,2011
11682,Robot Dogs 11682,USA,TX,2021
12579,Robot Dogs 12579,USA,TX,2012
15393,Robot Dogs 15393,USA,TX,2010
15902,Robot Dogs 15902,USA,TX,2022
17659,Robot Dogs 17659,USA,TX,2011
19102,Robot Dogs 19102,USA,TX,2020
19104,Robot Dogs 19104,USA,TX,2016
19771,Robot Dogs 19771,USA,TX,2010
21469,Robot Dogs 21469,USA,TX,2018
22347,Robot Dogs 22347,USA,TX,2010
23645,Robot Dogs 23645,USA,TX,2007
24242,Robot Dogs 24242,USA,TX,2014
1410,Robot Dogs 1410,USA,TX,2005
2882,Robot Dogs 2882,USA,TX,2020
3175,Robot Dogs 3175,USA,TX,2006
3326,Robot Dogs 3326,USA,TX,2011
4595,Robot Dogs 4595,USA,TX,2005
4741,Robot Dogs 4741,USA,TX,2005
5127,Robot Dogs 5127,USA,TX,2005
5983,Robot Dogs 5983,USA,TX,2020
7495,Robot Dogs 7495,USA,TX,2015
9141,Robot Dogs 9141,USA,TX,2012
10709,Robot Dogs 10709,USA,TX,2010
11591,Robot Dogs 11591,USA,TX,2022
11675,Robot Dogs 11675,USA,TX,2011
13597,Robot Dogs 13597,USA,TX,2015
13880,Robot Dogs 13880,USA,TX,2016
15117,Robot Dogs 15117,USA,TX,2020
15409,Robot Dogs 15409,USA,TX,2020
15591,Robot Dogs 15591,USA,TX,2005
15970,Robot Dogs 15970,USA,TX,2021
18157,Robot Dogs 18157,USA,TX,2020
18328,Robot Dogs 18328,USA,TX,2022
19111,Robot Dogs 19111,USA,TX,2008
19305,Robot Dogs 19305,USA,TX,2013
20780,Robot Dogs 20780,USA,TX,2007
21129,Robot Dogs 21129,USA,TX,2021
21332,Robot Dogs 21332,USA,TX,2019
21481,Robot Dogs 21481,USA,TX,2023
21826,Robot Dogs 21826,USA,TX,2005
22032,Robot Dogs 22032,USA,TX,2014
23484,Robot Dogs 23484,USA,TX,2008
1982,Robot Dogs 1982,USA,TX,2011
2481,Robot Dogs 2481,USA,TX,2005
2764,Robot Dogs 2764,USA,TX,2020
2855,Robot Dogs 2855,USA,TX,2020
5082,Robot Dogs 5082,USA,TX,2009
5463,Robot Dogs 5463,USA,TX,2016
6602,Robot Dogs 6602,USA,TX,2019
6988,Robot Dogs 6988,USA,TX,2017
7922,Robot Dogs 7922,USA,TX,2018
11408,Robot Dogs 11408,USA,TX,2010
11470,Robot Dogs 11470,USA,TX,2016
12821,Robot Dogs 12821,USA,TX,2019
13276,Robot Dogs 13276,USA,TX,2022
13666,Robot Dogs 13666,USA,TX,2019
13873,Robot Dogs 13873,USA,TX,2017
14257,Robot Dogs 14257,USA,TX,2015
16061,Robot Dogs 16061,USA,TX,2012
16119,Robot Dogs 16119,USA,TX,2020
16428,Robot Dogs 16428,USA,TX,2006
17254,Robot Dogs 17254,USA,TX,2005
17554,Robot Dogs 17554,USA,TX,2011
18194,Robot Dogs 18194,USA,TX,2022
18224,Robot Dogs 18224,USA,TX,2007
18478,Robot Dogs 18478,USA,TX,2008
19847,Robot Dogs 19847,USA,TX,2015
19870,Robot Dogs 19870,USA,TX,2013
