season,event_key,match_number,is_playoff,red_team_1,red_team_2,blue_team_1,blue_team_2,red_score,blue_score,winner,red_opr_sum,blue_opr_sum,opr_favorite,opr_upset,red_elo_avg,blue_elo_avg,elo_favorite,elo_upset
1819,1819-TX-E01,1,False,1949,8171,16062,21517,193,273,blue,185.2,197.8,blue,False,1472.0,1555.0,blue,False
1819,1819-TX-E01,2,False,22746,21517,5289,8171,203,161,red,242.1,171.7,red,False,1556.0,1467.0,red,False
1819,1819-TX-E01,3,False,1949,16062,22746,21729,160,93,red,140.5,107.6,red,False,1513.0,1510.0,red,False
1819,1819-TX-E01,4,False,8171,18170,22030,1949,232,134,red,215.6,146.9,red,False,1481.0,1445.0,red,False
1819,1819-TX-E01,5,False,8171,18170,19905,2113,218,242,blue,215.6,233.3,blue,False,1481.0,1535.0,blue,False
1819,1819-TX-E01,6,False,5289,16062,2113,1949,140,200,blue,127.0,232.1,blue,False,1508.0,1544.0,blue,False
1819,1819-TX-E01,7,False,5626,8171,1949,5289,173,214,blue,174.9,179.1,blue,False,1470.0,1484.0,blue,False
1819,1819-TX-E01,8,False,19905,5626,22030,1949,175,163,red,183.5,146.9,red,False,1479.0,1445.0,red,False
1819,1819-TX-E01,9,False,8171,19905,22746,1949,176,181,blue,186.4,184.8,red,True,1464.0,1514.0,blue,False
1819,1819-TX-E01,10,False,18170,1949,5682,22030,228,166,red,223.0,160.0,red,False,1499.0,1415.0,red,False
1819,1819-TX-E01,11,False,22030,19905,2113,21729,152,156,blue,148.1,154.8,blue,False,1437.0,1540.0,blue,False
1819,1819-TX-E01,12,False,19905,21729,8171,16062,130,164,blue,116.6,133.1,blue,False,1477.0,1496.0,blue,False
1819,1819-TX-E01,13,False,5626,18170,22030,5682,223,156,red,212.6,160.0,red,False,1496.0,1415.0,red,False
1819,1819-TX-E01,14,False,5289,2113,18170,21517,216,246,blue,218.6,280.3,blue,False,1539.0,1540.0,blue,False
1819,1819-TX-E01,15,False,21517,22746,22030,5682,275,158,red,242.1,160.0,red,False,1556.0,1415.0,red,False
1819,1819-TX-E01,16,False,22030,19905,22746,2113,141,249,blue,148.1,224.3,blue,False,1437.0,1568.0,blue,False
1819,1819-TX-E01,1,True,2113,16062,5626,5682,260,224,red,180.0,195.4,blue,True,1568.0,1457.0,red,False
1819,1819-TX-E01,2,True,2113,16062,5626,5682,262,247,red,180.0,195.4,blue,True,1568.0,1457.0,red,False
1819,1819-TX-E01,1,True,21517,5289,18170,1949,243,226,red,236.4,223.0,red,False,1526.0,1499.0,red,False
1819,1819-TX-E01,2,True,21517,5289,18170,1949,257,232,red,236.4,223.0,red,False,1526.0,1499.0,red,False
1819,1819-TX-E01,3,True,21517,5289,18170,1949,253,235,red,236.4,223.0,red,False,1526.0,1499.0,red,False
1819,1819-TX-E01,1,True,2113,16062,21517,5289,249,235,red,180.0,236.4,blue,True,1568.0,1526.0,red,False
1819,1819-TX-E01,2,True,2113,16062,21517,5289,229,227,red,180.0,236.4,blue,True,1568.0,1526.0,red,False
1819,1819-TX-E04,1,False,8696,8028,21396,5613,220,195,red,211.6,191.6,red,False,1533.0,1507.0,red,False
1819,1819-TX-E04,2,False,6066,5613,16928,2739,178,169,red,183.4,160.8,red,False,1508.0,1469.0,red,False
1819,1819-TX-E04,3,False,8696,2770,21170,21396,222,192,red,200.3,178.4,red,False,1541.0,1521.0,red,False
1819,1819-TX-E04,4,False,24116,5613,16362,2739,173,124,red,157.2,142.5,red,False,1492.0,1447.0,red,False
1819,1819-TX-E04,5,False,16362,21170,24116,21396,151,161,blue,163.9,148.4,red,True,1493.0,1512.0,blue,False
1819,1819-TX-E04,6,False,21396,9907,8696,2770,181,215,blue,163.6,200.3,blue,False,1488.0,1541.0,blue,False
1819,1819-TX-E04,7,False,2770,16928,21896,8696,198,153,red,208.3,137.4,red,False,1561.0,1465.0,red,False
1819,1819-TX-E04,8,False,21396,21170,16928,21896,205,152,red,178.4,145.4,red,False,1521.0,1486.0,red,False
1819,1819-TX-E04,9,False,14966,6066,21170,8028,140,212,blue,120.0,211.3,blue,False,1506.0,1554.0,blue,False
1819,1819-TX-E04,10,False,16928,6066,21170,2739,189,174,red,178.4,152.6,red,False,1522.0,1469.0,red,False
1819,1819-TX-E04,11,False,8696,24116,2770,21896,110,145,blue,144.2,163.2,blue,False,1486.0,1532.0,blue,False
1819,1819-TX-E04,12,False,2739,5613,14966,9907,143,151,blue,165.8,109.0,red,True,1455.0,1467.0,blue,False
1819,1819-TX-E04,13,False,21396,9907,2770,2739,152,185,blue,163.6,178.7,blue,False,1488.0,1515.0,blue,False
1819,1819-TX-E04,14,False,8028,10135,21896,14966,262,115,red,271.1,87.0,red,False,1547.0,1470.0,red,False
1819,1819-TX-E04,15,False,16928,21170,2739,21396,167,154,red,182.2,157.0,red,False,1515.0,1474.0,red,False
1819,1819-TX-E04,16,False,5613,10135,9907,21896,256,94,red,246.9,122.3,red,False,1494.0,1453.0,red,False
1819,1819-TX-E04,17,False,16362,21896,24116,9907,150,135,red,127.1,129.2,blue,True,1464.0,1474.0,blue,True
1819,1819-TX-E04,18,False,2770,14966,15172,8696,161,157,red,149.9,157.0,blue,True,1545.0,1466.0,red,False
1819,1819-TX-E04,19,False,21170,21396,21896,8696,144,136,red,178.4,137.4,red,False,1521.0,1465.0,red,False
1819,1819-TX-E04,20,False,21396,8696,16362,2739,154,151,red,178.7,142.5,red,False,1500.0,1447.0,red,False
1819,1819-TX-E04,1,True,10135,8696,2770,6066,206,249,blue,234.0,196.2,red,True,1488.0,1568.0,blue,False
1819,1819-TX-E04,2,True,10135,8696,2770,6066,230,206,red,234.0,196.2,red,False,1488.0,1568.0,blue,True
1819,1819-TX-E04,3,True,10135,8696,2770,6066,225,239,blue,234.0,196.2,red,True,1488.0,1568.0,blue,False
1819,1819-TX-E04,1,True,5613,15172,8028,21396,193,222,blue,170.0,215.8,blue,False,1472.0,1559.0,blue,False
1819,1819-TX-E04,2,True,5613,15172,8028,21396,224,238,blue,170.0,215.8,blue,False,1472.0,1559.0,blue,False
1819,1819-TX-E04,3,True,5613,15172,8028,21396,193,205,blue,170.0,215.8,blue,False,1472.0,1559.0,blue,False
1819,1819-TX-E04,1,True,10135,8696,5613,15172,235,238,blue,234.0,170.0,red,True,1488.0,1472.0,red,True
1819,1819-TX-E04,2,True,10135,8696,5613,15172,199,205,blue,234.0,170.0,red,True,1488.0,1472.0,red,True
1819,1819-TX-E04,3,True,10135,8696,5613,15172,226,209,red,234.0,170.0,red,False,1488.0,1472.0,red,False
1819,1819-TX-E03,1,False,16524,17285,3008,17276,203,186,red,188.1,174.4,red,False,1511.0,1450.0,red,False
1819,1819-TX-E03,2,False,1485,9005,10315,20065,112,262,blue,133.0,218.8,blue,False,1491.0,1522.0,blue,False
1819,1819-TX-E03,3,False,15210,16524,10315,20065,199,197,red,148.0,218.8,blue,True,1517.0,1522.0,blue,True
1819,1819-TX-E03,4,False,20065,15476,3985,19016,267,189,red,259.5,187.5,red,False,1553.0,1456.0,red,False
1819,1819-TX-E03,5,False,10810,1485,11030,9524,123,283,blue,123.7,250.6,blue,False,1480.0,1521.0,blue,False
1819,1819-TX-E03,6,False,11030,19170,21765,11463,241,192,red,240.1,193.3,red,False,1547.0,1500.0,red,False
1819,1819-TX-E03,7,False,12024,10315,1485,16524,234,156,red,222.9,140.2,red,False,1516.0,1468.0,red,False
1819,1819-TX-E03,8,False,15210,17276,19170,9005,165,208,blue,100.9,182.4,blue,False,1468.0,1531.0,blue,False
1819,1819-TX-E03,9,False,17276,3985,5722,3008,102,224,blue,126.7,231.8,blue,False,1404.0,1502.0,blue,False
1819,1819-TX-E03,10,False,15210,12931,24086,15476,245,307,blue,140.9,285.9,blue,False,1511.0,1554.0,blue,False
1819,1819-TX-E03,11,False,19016,15476,6011,21765,260,213,red,265.3,197.4,red,False,1524.0,1492.0,red,False
1819,1819-TX-E03,12,False,18740,11030,19170,19016,171,161,red,215.0,203.2,red,False,1531.0,1510.0,red,False
1819,1819-TX-E03,13,False,18740,9005,17285,1485,145,148,blue,157.2,131.2,red,True,1515.0,1498.0,red,True
1819,1819-TX-E03,14,False,16524,14974,3008,19016,207,235,blue,168.8,235.2,blue,False,1467.0,1502.0,blue,False
1819,1819-TX-E03,15,False,21765,9524,15210,14974,181,157,red,199.2,119.6,red,False,1475.0,1503.0,blue,True
1819,1819-TX-E03,16,False,9524,3985,10810,11463,174,179,blue,176.7,177.6,blue,False,1452.0,1518.0,blue,False
1819,1819-TX-E03,17,False,12931,12024,19735,17285,191,135,red,202.1,154.9,red,False,1501.0,1528.0,blue,True
1819,1819-TX-E03,18,False,5722,12931,15210,10810,182,207,blue,200.4,131.5,red,True,1478.0,1529.0,blue,False
1819,1819-TX-E03,19,False,24086,10147,3008,10315,215,203,red,236.1,235.4,red,False,1532.0,1508.0,red,False
1819,1819-TX-E03,20,False,9524,16524,19170,3985,161,182,blue,200.1,166.2,red,True,1481.0,1479.0,red,True
1819,1819-TX-E03,21,False,15210,11030,18740,17276,277,132,red,198.6,117.3,red,False,1557.0,1442.0,red,False
1819,1819-TX-E03,22,False,6011,19735,18740,3985,167,164,red,165.0,141.1,red,False,1515.0,1463.0,red,False
1819,1819-TX-E03,23,False,3008,3985,5722,17276,227,182,red,198.2,160.3,red,False,1470.0,1435.0,red,False
1819,1819-TX-E03,24,False,6011,20065,10147,17276,205,157,red,206.1,154.8,red,False,1529.0,1450.0,red,False
1819,1819-TX-E03,25,False,10147,3985,18740,9524,144,159,blue,178.6,167.3,red,True,1470.0,1491.0,blue,False
1819,1819-TX-E03,26,False,3985,1485,9005,10147,106,222,blue,116.9,194.7,blue,False,1439.0,1522.0,blue,False
1819,1819-TX-E03,27,False,11475,16524,9005,20065,163,170,blue,161.4,197.8,blue,False,1466.0,1536.0,blue,False
1819,1819-TX-E03,28,False,16524,15476,3985,21765,237,177,red,251.7,173.0,red,False,1521.0,1447.0,red,False
1819,1819-TX-E03,29,False,6011,15476,9524,19016,244,233,red,252.7,213.7,red,False,1537.0,1484.0,red,False
1819,1819-TX-E03,30,False,17285,10147,14974,6011,219,162,red,192.8,169.9,red,False,1528.0,1483.0,red,False
1819,1819-TX-E03,31,False,17276,10810,17285,11463,125,177,blue,133.5,185.1,blue,False,1444.0,1535.0,blue,False
1819,1819-TX-E03,32,False,15210,17285,17276,5722,202,147,red,138.9,160.3,blue,True,1547.0,1435.0,red,False
1819,1819-TX-E03,33,False,18740,19016,9524,11475,205,188,red,178.1,164.3,red,False,1494.0,1466.0,red,False
1819,1819-TX-E03,34,False,12931,9524,9005,11463,186,195,blue,193.0,186.9,red,True,1475.0,1529.0,blue,False
1819,1819-TX-E03,35,False,17285,11475,19735,5722,127,192,blue,152.3,174.2,blue,False,1496.0,1502.0,blue,False
1819,1819-TX-E03,1,True,15476,19016,6011,11030,270,259,red,265.3,248.8,red,False,1524.0,1538.0,blue,True
1819,1819-TX-E03,2,True,15476,19016,6011,11030,264,267,blue,265.3,248.8,red,True,1524.0,1538.0,blue,False
1819,1819-TX-E03,1,True,24086,9524,3008,15210,252,253,blue,234.3,172.3,red,True,1514.0,1534.0,blue,False
1819,1819-TX-E03,2,True,24086,9524,3008,15210,284,238,red,234.3,172.3,red,False,1514.0,1534.0,blue,True
1819,1819-TX-E03,1,True,15476,19016,24086,9524,267,267,blue,265.3,234.3,red,True,1524.0,1514.0,red,True
1819,1819-TX-E03,2,True,15476,19016,24086,9524,276,263,red,265.3,234.3,red,False,1524.0,1514.0,red,False
1819,1819-TX-E03,3,True,15476,19016,24086,9524,262,268,blue,265.3,234.3,red,True,1524.0,1514.0,red,True
